,name,min_unit_price,bottle_size,price,bottle_min_units,single_product_url,msrp,qoh,sku,brand,region,vintage,wine_type,description,upc,_reviews
0,Santa Marina Pinot Grigio 2018,6.42,750ML,6.42,1,https://www.getwineonline.com/sku00007_SANTA-MARINA-PINOT-GRIGIO-750ML-2018,8.99,159,7,SANTA MARINA,PAVIA,2018,WHITE,Dry and crisp withwell-balanced fruit andacids. Refreshing withfruit notes and traces ofalmond.,39383006309,
1,Casa Del Toro Cabernet Sauvignon 2018,4.99,750ML,4.99,1,https://www.getwineonline.com/sku00010_CASA-DEL-TORO-CABERNET-SAUVIGNON-750ML-2018,5.99,60,10,VINA REQUINGUA,CURICO VALLEY,2018,RED,,"680171711105, 753690000606",
2,Casa Del Toro Pinot Grigio 2016,4.99,750ML,4.99,1,https://www.getwineonline.com/sku00012_CASA-DEL-TORO-PINOT-GRIGIO-750ML-2016,5.99,82,12,,,2016,,,"711706801715, 722296801719",
3,Casa Del Toro Merlot 2018,4.99,750ML,4.99,1,https://www.getwineonline.com/sku00022_CASA-DEL-TORO-MERLOT-750ML-2018,5.99,48,22,VINA REQUINGUA,CURICO VALLEY,2018,RED,,680171711006,
4,Casa Del Toro Cabernet Sauvignon Merlot 2017,4.99,750ML,4.99,1,https://www.getwineonline.com/sku00024_CASA-DEL-TORO-CABERNET-SAUVIGNON-MERLOT-750ML-2017,5.99,77,24,VINA REQUINGUA,CURICO VALLEY,2017,RED,,680171711112,
5,Casa Del Toro Chardonnay 2016,4.99,750ML,4.99,1,https://www.getwineonline.com/sku00026_CASA-DEL-TORO-CHARDONNAY-750ML-2016,5.99,58,26,VINA REQUINGUA,CURICO VALLEY,2016,WHITE,,"680171700093, 680171710009",
6,Casa Del Toro Sauvignon Blanc,4.99,750ML,4.99,1,https://www.getwineonline.com/sku00028_CASA-DEL-TORO-SAUVIGNON-BLANC-750ML,5.99,64,28,VINA REQUINGUA,CURICO VALLEY,,WHITE,,681171711300,
7,Grooner Gruner Veltliner 2016,9.99,750ML,9.99,1,https://www.getwineonline.com/sku00031_GROONER-GRUNER-VELTLINER-750ML-2016,13.99,29,31,FORSTREITER,,2016,WHITE,"Sour Apples and citrus, tropical fruit notes, balanced acidity, wine for any occasion.",89744754547,"[{""reviewer_name"": ""Wine Spectator"", ""score_str"": ""90"", ""content"": ""There's a nice balance here between the peach and apple fruit and the herb and grassy flavors. This is harmonious too, leaving a fresh impression. Drink now through 2023. 3,500 cases imported.""}]"
8,Famille Hugel Gentil 2015,12.29,750ML,12.29,1,https://www.getwineonline.com/sku00032_FAMILLE-HUGEL-GENTIL-750ML-2015,15.99,20,32,FAMILLE HUGEL,RIQUEWIHR,2015,WHITE,"This wine revives an ancient Alsace tradition that wines assembled from noble grape varieties were called 'Gentil'. Gentil 'Hugel' allies the suave, spicy flavour of Gewurztraminer, the body of Pinot Gris, the finesse of Riesling, the grapiness of Muscat and the refreshing character of Sylvaner.",89744382702,
9,Marques De Riscal Rioja Reserva 2012,15.89,750ML,15.89,1,https://www.getwineonline.com/sku00036_MARQUES-DE-RISCAL-RIOJA-RESERVA-750ML-2012,20.89,207,36,MARQUES DE RISCAL,RIOJA ALAVESA,2012,RED,"The reserva wines of Marques de Riscal are made principally from Tempranillo vines which are over 15 years old. This is a variety that ages well in wood, producing wines with a good tannic structure, colour and acidity. . The reserva wines of Riscal spend approximately two years in American oak barrels, forming a wine that adheres to the principles of classic Rioja wines.","088320003024, 0088320003024",
