description,taxonomy_agg_key,source_review_id,reviewer_id,reviewer_name,review_score,master_product_id,content,processed_content,source_product_id,source_id
"Pinot Noir from this region is amongst the best in the country and Scotchmans does it well. This example is earthy, gamey and packed with lovely pure Pinot flavour - delicious!",[],2703226,-1,Gary Walsh,93,4204548,"A little meaty, pepper and spice, dark fruit and incense, creamy vanilla oak... layered dark spices and a heady mouth perfume.",,2671558,12
"Pinot Noir from this region is amongst the best in the country and Scotchmans does it well. This example is earthy, gamey and packed with lovely pure Pinot flavour - delicious!",[],2703227,-1,Dan Murphy's Wine Panel,91,4204548,"A fuller style Pinot Noir with lovely fragrance of fresh raspberry and dark fruits with earthy forest floor, beetroot and subtle yet cedary oak. One of Australias Pinot pioneers, still going strong.",,2671558,12
House of Arras Grand Vintage is at the pinnacle of Australian sparkling wine! The fruit is sourced from the cool climate region of Tasmania where Ed Carr (Gourmet Wine Traveller Winemaker of the Year 2011) and his team produce an outstanding wine of incre,[],2703228,17,James Halliday,96,4204551,"A blend of 67% chardonnay and 33% pinot noir sourced from the Derwent Valley and east coast. On tirage for more than seven years, it has the ultra-fine bread that only comes with such age; the complex bouquet of toast and nougat leads into a palate with e",,2671561,12
House of Arras Grand Vintage is at the pinnacle of Australian sparkling wine! The fruit is sourced from the cool climate region of Tasmania where Ed Carr (Gourmet Wine Traveller Winemaker of the Year 2011) and his team produce an outstanding wine of incre,[],2703229,-1,Tyson Stelzer,95,4204551,"Grand Vintage remains the core of Arras’ portfolio of now seven cuvees. Led confidently by more than three-quarters chardonnay, this vintage upholds a refreshingly pale straw hue and exciting fruit energy of lemons, apples and white stone fruits. The enga",,2671561,12
House of Arras Grand Vintage is at the pinnacle of Australian sparkling wine! The fruit is sourced from the cool climate region of Tasmania where Ed Carr (Gourmet Wine Traveller Winemaker of the Year 2011) and his team produce an outstanding wine of incre,[],2703230,17,James Halliday,94,4204551,"A great vintage for Arras, testimony to maker Ed Carr's perpetual learning curve. Less dosage sweetness accents youthful fruit purity, while a touch more oak in the liqueur conspires with long lees ageing to build creamy, softly textural mouthfeel. The ci",,2671561,12
House of Arras Grand Vintage is at the pinnacle of Australian sparkling wine! The fruit is sourced from the cool climate region of Tasmania where Ed Carr (Gourmet Wine Traveller Winemaker of the Year 2011) and his team produce an outstanding wine of incre,[],2703231,-1,Tyson Stelzer,94,4204551,"....His 2005 is a release that impresses me for juxtaposing the lively, focused citrus drive of chardonnay (69%) with the succulent red berries of pinot noir. The result is clean, precise and beautifully pure, quite backward in its development, with subtl",,2671561,12
"Brookland Valley Margaret River Semillon Sauvignon Blanc is a great style to serve well chilled on a warm day. Lively aromas of lime, snow-pea and lemongrass are appealing and the palate brims with tropical fruit and citrus flavours.",[],2703232,-1,Gary Walsh,91,4204553,"A subtler and less showy style. Light mown grass, passionfruit, lemon and lime. It's juicy and limey with an attractive hit of flavour, some roundness, and clean acidity and some herbal flavours mopping up on the finish. Very easy to drink.",,2671563,12
"Brookland Valley Margaret River Semillon Sauvignon Blanc is a great style to serve well chilled on a warm day. Lively aromas of lime, snow-pea and lemongrass are appealing and the palate brims with tropical fruit and citrus flavours.",[],2703233,-1,Dan Murphy's Wine Panel,93,4204553,Gold at Canberra is just reward for a wine that stunned us on the tasting bench. Mouth watering acidity and ripe tropicals begging for a shellfish partner.,,2671563,12
"Chandon Vintage Brut is a fine elegant sparkling produced from grapes sourced from multiple cool-climate regions, with a slant towards quality Yarra Valley fruit. A reductive, flinty aroma overlays quince, nashi pear, pine nut, citrus blossom and lemon ze",[],2703234,17,James Halliday,95,4204554,"A 50/44/6% blend of pinot noir, chardonnay and pinot meunier, principally sourced from the Yarra and King Valleys and the Strathbogie Ranges. Has an elegance and lightness of touch stemming from its faultless balance, the aromas a mix of small red fruits,",,2671564,12
"Chandon Vintage Brut is a fine elegant sparkling produced from grapes sourced from multiple cool-climate regions, with a slant towards quality Yarra Valley fruit. A reductive, flinty aroma overlays quince, nashi pear, pine nut, citrus blossom and lemon ze",[],2703235,17,James Halliday,94,4204554,"Pale, bright straw-green; a blend of chardonnay, pinot noir and pinot meunier from a range of unspecified regions, and while bottle-fermented, does not specify the time on lees prior to disgorgement; is harmonious, and while fruit-driven, there is a touch",,2671564,12
